"","Water.Control.Zone","Station","Dates","Sample.No","Depth","Volatile.Suspended.Solids..mg.L.","Unionised.Ammonia..mg.L.","Turbidity..NTU.","Total.Phosphorus..mg.L.","Total.Nitrogen..mg.L.","Total.Kjeldahl.Nitrogen..mg.L.","Total.Inorganic.Nitrogen..mg.L.","Temperature...C.","Suspended.Solids..mg.L.","Silica..mg.L.","Secchi.Disc.Depth..M.","Salinity..psu.","Phaeo.pigments..μg.L.","pH","Orthophosphate.Phosphorus..mg.L.","Nitrite.Nitrogen..mg.L.","Nitrate.Nitrogen..mg.L.","Faecal.Coliforms..cfu.100mL.","E..coli..cfu.100mL.","Dissolved.Oxygen..mg.L.","Dissolved.Oxygen...saturation.","Chlorophyll.a..μg.L.","Ammonia.Nitrogen..mg.L.","X5.day.Biochemical.Oxygen.Demand..mg.L.","site","phase"
"754","Mirs Bay","MM19","2020-06-22",1,"Surface Water","2.9","<0.001","2.1","0.03","0.53","0.46","0.09",25,"14","0.29",2.6,32.9,"2.5",8.1,"0.007","0.022","0.046","7","<1",6.5,95,"10","0.019","1.8","NP","initial"
"755","Mirs Bay","MM19","2020-06-22",1,"Middle Water","1.5","<0.001","3.7","0.03","0.39","0.34","0.08",23,"9.1","0.75",2.6,34.2,"1.3",7.9,"0.008","0.023","0.03","1","<1",4,56,"2.4","0.024","0.7","NP","initial"
"756","Mirs Bay","MM19","2020-06-22",1,"Bottom Water","1.5","<0.001","5","0.03","0.22","0.17","0.08",22.5,"12","0.72",2.6,34.3,"0.7",7.9,"0.01","0.013","0.04","<1","<1",4.3,60,"0.9","0.022","0.5","NP","initial"
"757","Mirs Bay","MM19","2020-09-23",1,"Surface Water","1.8","0.001","2.7","0.05","0.55","0.54","0.03",29.7,"7","0.32",3.6,32.3,"<0.2",8,"0.006","0.003","<0.002","1","<1",5.6,89,"1.1","0.022","0.3","NP","initial"
"758","Mirs Bay","MM19","2020-09-23",1,"Middle Water","1.7","<0.001","3.1","0.05","0.54","0.53","0.02",29.3,"7.3","0.32",3.6,32.4,"0.6",8,"0.006","0.005","<0.002","1","<1",5.9,92,"0.7","0.009","<0.1","NP","initial"
"759","Mirs Bay","MM19","2020-09-23",1,"Bottom Water","0.5","<0.001","4.4","0.05","0.42","0.41","0.01",29.3,"1.2","0.32",3.6,32.4,"0.3",8,"0.007","0.003","<0.002","<1","<1",5.8,91,"0.7","0.006","0.1","NP","initial"
"760","Mirs Bay","MM19","2020-10-29",1,"Surface Water","0.8","<0.001","6.1","0.06","0.14","0.09","0.06",24.5,"4.6","1.3",2.6,33.4,"0.5",8.1,"0.023","0.023","0.029","<1","<1",5.9,86,"1.1","<0.005","0.4","NP","initial"
"761","Mirs Bay","MM19","2020-10-29",1,"Middle Water","0.9","<0.001","5.9","0.05","0.11","0.06","0.06",24.5,"4.3","0.95",2.6,33.4,"0.8",8.1,"0.03","0.024","0.028","3","<1",6.3,91,"1","<0.005","0.4","NP","initial"
"762","Mirs Bay","MM19","2020-10-29",1,"Bottom Water","1.5","<0.001","9","0.05","0.64","0.59","0.06",24.5,"9","0.93",2.6,33.5,"0.9",8.1,"0.034","0.023","0.026","<1","<1",6.5,94,"1.2","0.009","0.4","NP","initial"
"763","Mirs Bay","MM19","2020-11-26",1,"Surface Water","0.8","0.001","3.7","0.06","0.39","0.29","0.12",23.6,"3.4","0.58",2.6,32.1,"1.2",8.1,"0.008","0.01","0.086","<1","<1",6.2,88,"3.9","0.026","0.7","NP","initial"
"764","Mirs Bay","MM19","2020-11-26",1,"Middle Water","0.6","<0.001","3.8","0.06","0.49","0.39","0.12",23.2,"2.6","0.44",2.6,32.2,"<0.2",8,"0.008","0.01","0.086","<1","<1",7.1,100,"5.5","0.021","0.5","NP","initial"
"765","Mirs Bay","MM19","2020-11-26",1,"Bottom Water","<0.5","<0.001","4.1","0.06","0.9","0.79","0.13",23.1,"1.7","0.48",2.6,32.2,"1.1",8,"0.01","0.011","0.094","<1","<1",7.2,101,"3.4","0.022","<0.1","NP","initial"
"766","Mirs Bay","MM19","2021-02-18",1,"Surface Water","1.6","<0.001","2.2","0.08","0.99","0.98","0.03",18.9,"8.4","0.34",6.9,32.5,"<0.2",7.9,"0.009","0.004","<0.002","2","<1",5.8,75,"3.1","0.027","0.9","NP","initial"
"767","Mirs Bay","MM19","2021-02-18",1,"Middle Water","1.8","<0.001","2.3","0.55","0.86","0.85","0.04",18.8,"9.1","0.33",6.9,32.8,"<0.2",7.9,"0.009","0.004","<0.002","<1","<1",6.6,87,"3.5","0.03","1","NP","initial"
"768","Mirs Bay","MM19","2021-02-18",1,"Bottom Water","1.4","<0.001","3.6","0.06","0.93","0.92","0.04",19.9,"9","0.32",6.9,33.9,"0.3",7.8,"0.009","0.002","0.004","<1","<1",6.1,82,"3.3","0.029","0.9","NP","initial"
"769","Mirs Bay","MM19","2021-03-19",1,"Surface Water","<0.5","<0.001","4.5","0.04","0.07","0.06","0.03",22.5,"<0.5","0.51",4.9,33.3,"0.4",7.9,"0.007","<0.002","0.005","<1","<1",5.1,71,"<0.2","0.025","0.2","NP","initial"
"770","Mirs Bay","MM19","2021-03-19",1,"Middle Water","<0.5","<0.001","2.1","0.04","0.08","0.08","0.04",22,"<0.5","0.47",4.9,33.4,"0.2",7.9,"0.008","<0.002","<0.002","<1","<1",6,83,"0.3","0.031","0.2","NP","initial"
"771","Mirs Bay","MM19","2021-03-19",1,"Bottom Water","<0.5","<0.001","4.7","0.04","0.15","0.14","0.02",21.7,"<0.5","0.44",4.9,33.8,"<0.2",7.9,"0.007","<0.002","0.003","<1","<1",4.6,64,"0.6","0.019","0.1","NP","initial"
"772","Mirs Bay","MM19","2021-04-22",1,"Surface Water","0.6","<0.001","3.7","0.05","0.59","0.59","0.03",24.5,"3.2","0.43",2.2,33.8,"<0.2",7.7,"0.015","<0.002","<0.002","<1","<1",4.8,69,"1.5","0.026","0.2","NP","initial"
"773","Mirs Bay","MM19","2021-04-22",1,"Middle Water","0.6","<0.001","3.9","0.05","0.64","0.64","0.04",23.5,"4.6","0.38",2.2,34,"<0.2",7.7,"0.01","<0.002","<0.002","<1","<1",5.2,74,"1.3","0.036","0.1","NP","initial"
"774","Mirs Bay","MM19","2021-04-22",1,"Bottom Water","0.8","<0.001","4.1","0.05","0.52","0.52","0.04",23.4,"4.8","0.32",2.2,34,"<0.2",7.7,"0.008","<0.002","<0.002","<1","<1",4.8,68,"0.6","0.036","<0.1","NP","initial"
"775","Mirs Bay","MM19","2021-05-24",1,"Surface Water","0.8","<0.001","3.9","N/A","N/A","N/A","0.09",27.8,"1.2","0.07",2.9,32.1,"0.5",7.7,"<0.002","0.006","0.062","2","2",8.3,126,"6.2","0.026","1.4","NP","initial"
"776","Mirs Bay","MM19","2021-05-24",1,"Middle Water","0.5","<0.001","2.9","N/A","N/A","N/A","0.07",23.8,"1.3","0.47",2.9,34.2,"<0.2",7.5,"0.008","0.015","0.025","<1","<1",3.9,57,"1.7","0.033","0.1","NP","initial"
"777","Mirs Bay","MM19","2021-05-24",1,"Bottom Water","0.8","<0.001","3.7","N/A","N/A","N/A","0.08",22.5,"2.1","0.55",2.9,34.4,"<0.2",7.5,"0.01","0.012","0.039","1","<1",3.5,50,"1","0.024","0.1","NP","initial"
"778","Mirs Bay","MM19","2021-06-24",1,"Surface Water","0.6","<0.001","2.7","N/A","N/A","N/A","0.13",26.6,"1.6","0.14",2.8,31.3,"1.6",7.6,"0.003","0.019","0.091","5","3",4.6,68,"6.7","0.022","1.2","NP","middle"
"779","Mirs Bay","MM19","2021-06-24",1,"Middle Water","<0.5","<0.001","2.9","N/A","N/A","N/A","0.08",24.2,"1.2","0.47",2.8,34.2,"1.3",7.5,"0.006","0.018","0.026","5","2",3.8,55,"2.5","0.037","0.7","NP","middle"
"780","Mirs Bay","MM19","2021-06-24",1,"Bottom Water","<0.5","<0.001","5","N/A","N/A","N/A","0.06",23.5,"1.4","0.54",2.8,34.5,"0.6",7.5,"0.011","0.03","0.013","1","1",3.9,55,"0.6","0.016","0.5","NP","middle"
"781","Mirs Bay","MM19","2021-07-22",1,"Surface Water","0.6","<0.001","3","N/A","N/A","N/A","0.12",29.2,"1.9","0.83",5.9,28.9,"<0.2",7.5,"0.006","0.004","0.067","2","1",5.3,75,"1.2","0.047","0.4","NP","middle"
"782","Mirs Bay","MM19","2021-07-22",1,"Middle Water","<0.5","<0.001","2.8","N/A","N/A","N/A","0.04",27.8,"1.3","0.36",5.9,32.9,"<0.2",7.4,"0.005","0.002","0.01","<1","<1",4.3,65,"2.1","0.032","<0.1","NP","middle"
"783","Mirs Bay","MM19","2021-07-22",1,"Bottom Water","0.7","<0.001","5.1","N/A","N/A","N/A","0.08",25.6,"3.8","0.85",5.9,33.7,"<0.2",7.2,"0.01","0.007","0.037","<1","<1",3.4,50,"0.8","0.033","<0.1","NP","middle"
"784","Mirs Bay","MM19","2021-08-23",1,"Surface Water","<0.5","<0.001","4.1","N/A","N/A","N/A","0.04",24.2,"1.6","0.26",2.6,33.9,"2.3",7.5,"0.005","0.003","0.013","1","<1",5.7,66,"10","0.022","1.4","NP","middle"
"785","Mirs Bay","MM19","2021-08-23",1,"Middle Water","<0.5","<0.001","4.8","N/A","N/A","N/A","0.08",22.6,"1.2","0.85",2.6,34.4,"1.4",7.3,"0.01","0.006","0.055","1","<1",3.8,52,"2.3","0.016","0.4","NP","middle"
"786","Mirs Bay","MM19","2021-08-23",1,"Bottom Water","0.6","<0.001","5.7","N/A","N/A","N/A","0.09",22,"1.9","1",2.6,34.4,"1.3",7.3,"0.017","0.01","0.064","<1","<1",2.7,37,"0.8","0.018","0.3","NP","middle"
"787","Mirs Bay","MM19","2021-09-29",1,"Surface Water","0.7","0.003","137.8","N/A","N/A","N/A","0.05",30.7,"1.3","0.23",4,32.5,"<0.2",8.2,"0.006","<0.002","0.019","<1","<1",5.6,89,"1.9","0.026","1.1","NP","middle"
"788","Mirs Bay","MM19","2021-09-29",1,"Middle Water","0.6","0.002","10","N/A","N/A","N/A","0.04",29.6,"0.8","0.24",4,32.8,"<0.2",8.2,"0.005","<0.002","0.018","<1","<1",5.5,87,"1.4","0.024","0.5","NP","middle"
"789","Mirs Bay","MM19","2021-09-29",1,"Bottom Water","<0.5","0.002","7.8","N/A","N/A","N/A","0.05",29.2,"0.8","0.26",4,32.9,"<0.2",8.1,"0.005","<0.002","0.022","<1","<1",4.2,66,"2.2","0.024","0.8","NP","middle"
"790","Mirs Bay","MM19","2021-10-27",1,"Surface Water","0.5","<0.001","9.1","N/A","N/A","N/A","0.06",26.3,"3.3","0.64",2.8,33.3,"0.3",8,"0.009","0.025","0.011","1","1",5.8,86,"0.9","0.019","0.4","NP","middle"
"791","Mirs Bay","MM19","2021-10-27",1,"Middle Water","0.7","0.002","6.3","N/A","N/A","N/A","0.07",26.3,"4.1","0.65",2.8,33.3,"0.4",8,"0.008","0.025","0.012","1","1",6,89,"0.7","0.034","0.3","NP","middle"
"792","Mirs Bay","MM19","2021-10-27",1,"Bottom Water","0.9","0.001","7.2","N/A","N/A","N/A","0.06",26.2,"3.9","0.62",2.8,33.3,"<0.2",8,"0.009","0.025","0.011","1","1",5.9,88,"1.1","0.023","0.1","NP","middle"
"793","Mirs Bay","MM19","2021-11-25",1,"Surface Water","0.6","<0.001","11.3","0.02","0.45","0.42","0.07",23.7,"3.1","0.42",2.7,33.7,"<0.2",7.7,"0.008","0.01","0.02","29","27",5.8,83,"1.6","0.036","0.6","NP","middle"
"794","Mirs Bay","MM19","2021-11-25",1,"Middle Water","0.6","<0.001","6.4","0.02","0.46","0.44","0.05",23.4,"2.6","0.33",2.7,33.7,"0.3",7.7,"0.009","0.01","0.014","<1","<1",6.2,89,"1.5","0.029","0.5","NP","middle"
"795","Mirs Bay","MM19","2021-11-25",1,"Bottom Water","<0.5","<0.001","7.4","0.03","0.35","0.33","0.05",23.4,"3.8","0.38",2.7,33.7,"0.3",7.7,"0.009","0.011","0.012","1","<1",6.2,89,"0.7","0.023","0.2","NP","middle"
"796","Mirs Bay","MM19","2021-12-16",1,"Surface Water","0.6","<0.001","6.4","0.03","0.66","0.66","0.03",21.6,"2.2","0.8",2,33.8,"<0.2",7.8,"0.004","<0.002","<0.002","<1","<1",6.4,88,"0.4","0.021","0.5","NP","middle"
"797","Mirs Bay","MM19","2021-12-16",1,"Middle Water","0.6","<0.001","7.3","0.03","0.99","0.97","0.05",20.8,"3.8","0.82",2,33.8,"<0.2",7.8,"0.008","0.011","0.01","<1","<1",6.7,92,"0.5","0.031","0.5","NP","middle"
"798","Mirs Bay","MM19","2021-12-16",1,"Bottom Water","1.7","<0.001","7.4","0.02","0.44","0.42","0.04",20.9,"8.3","0.83",2,33.8,"<0.2",7.8,"0.009","0.01","0.006","<1","<1",6.8,93,"0.3","0.026","0.4","NP","middle"
"799","Mirs Bay","MM19","2022-01-19",1,"Surface Water","0.5","<0.001","11.7","0.05","0.57","0.48","0.11",18.2,"2.3","0.82",3.2,33.1,"<0.2",7.7,"0.016","0.015","0.07","<1","<1",6.6,85,"0.5","0.02","0.6","NP","middle"
"800","Mirs Bay","MM19","2022-01-19",1,"Middle Water","<0.5","<0.001","5.3","0.06","0.4","0.39","0.04",17.9,"1.8","0.79",3.2,33.2,"<0.2",7.7,"0.006","0.011","<0.002","<1","<1",7.2,93,"0.4","0.022","0.4","NP","middle"
"801","Mirs Bay","MM19","2022-01-19",1,"Bottom Water","0.6","<0.001","6.1","0.02","0.28","0.27","0.04",18.3,"3.1","0.69",3.2,33.4,"0.3",7.7,"0.006","0.009","<0.002","<1","<1",7.2,93,"0.3","0.029","0.4","NP","middle"
"802","Mirs Bay","MM19","2022-02-24",1,"Surface Water","0.7","<0.001","7.1","0.07","0.88","0.79","0.12",15.7,"3.1","0.93",2.2,32.1,"<0.2",7.5,"0.017","0.021","0.071","1","<1",7.5,91,"0.7","0.024","0.2","NP","middle"
"803","Mirs Bay","MM19","2022-02-24",1,"Middle Water","<0.5","<0.001","6.8","0.07","1.38","1.3","0.1",15.5,"2.5","0.92",2.2,32.1,"<0.2",7.5,"0.004","0.021","0.059","<1","<1",7.5,92,"0.3","0.024","0.1","NP","middle"
"804","Mirs Bay","MM19","2022-02-24",1,"Bottom Water","<0.5","<0.001","7.9","0.07","1.37","1.3","0.09",15.5,"3.1","0.95",2.2,32.2,"<0.2",7.6,"<0.002","0.02","0.047","<1","<1",7.5,91,"<0.2","0.022","0.1","NP","middle"
"805","Mirs Bay","MM19","2022-04-25",1,"Surface Water","1.1","0.002","8","0.02","0.37","0.36","0.03",25.1,"3.7","0.39",3.9,32.8,"0.9",8.4,"<0.002","0.004","<0.002","<1","<1",6.5,95,"2.7","0.023","0.7","NP","middle"
"806","Mirs Bay","MM19","2022-04-25",1,"Middle Water","0.6","0.002","6.4","0.03","0.6","0.6","0.03",22.3,"3.7","0.47",3.9,33.5,"0.9",8.4,"<0.002","<0.002","<0.002","<1","<1",6.4,89,"1.5","0.024","0.4","NP","middle"
"807","Mirs Bay","MM19","2022-04-25",1,"Bottom Water","0.5","0.002","7.7","0.02","0.21","0.21","0.04",22.4,"4","0.46",3.9,33.9,"<0.2",8.3,"<0.002","<0.002","<0.002","<1","<1",6.2,86,"0.5","0.032","<0.1","NP","middle"
"808","Mirs Bay","MM19","2022-05-26",1,"Surface Water","1","<0.001","5.9","0.03","0.53","0.51","0.03",25.4,"3.3","0.31",5.5,32.7,"<0.2",8.2,"<0.002","<0.002","0.022","2","<1",5.6,82,"1.7","0.007","0.3","NP","middle"
"809","Mirs Bay","MM19","2022-05-26",1,"Middle Water","1.1","<0.001","5.8","0.04","0.24","0.21","0.03",24.9,"4","0.32",5.5,32.7,"<0.2",8.2,"<0.002","<0.002","0.024","<1","<1",6.3,92,"0.9","0.006","0.3","NP","middle"
"810","Mirs Bay","MM19","2022-05-26",1,"Bottom Water","1.3","0.001","7.1","0.02","0.53","0.5","0.05",24.6,"5.1","0.34",5.5,32.9,"<0.2",8.2,"0.008","<0.002","0.025","<1","<1",6.1,89,"1","0.022","0.2","NP","middle"
"811","Mirs Bay","MM19","2022-06-22",1,"Surface Water","1.5","<0.001","7.8","0.02","0.4","0.32","0.09",26.3,"2.6","0.05",2.4,32.5,"4",8.3,"<0.002","0.004","0.076","<1","<1",8.9,133,"8.7","0.007","2.1","NP","middle"
