"featureid ""deployDate"" ""transferDate1"" ""transferDate2"" ""sampledDate"" ""site1"" ""site2"" ""site3"" ""water1"" ""water2"" ""water3"" ""movment"" ""daysInSite1"" ""daysInSite2"" ""daysInDite3"" ""dayTotal"" ""phase"" ""treatment"" ""sum_input"" ""sum_filtered"" ""sum_denoised"" ""sum_merged"" ""sum_nChimeric"" ""nChimericByInput"""
"55 ""2020-06-02"" """" """" ""2021-06-25"" ""TPC"" ""na"" ""na"" ""east"" ""na"" ""na"" ""east"" 388 NA NA 388 ""initial"" ""iBaseline"" 619730 558785 551230 525792 487797 0.787112129475739"
"56 ""2020-06-02"" """" """" ""2021-06-25"" ""TPC"" ""na"" ""na"" ""east"" ""na"" ""na"" ""east"" 388 NA NA 388 ""initial"" ""iBaseline"" 694489 626958 618539 589602 546373 0.786726643618545"
"57 ""2020-06-02"" ""2021-06-23"" """" ""2022-06-01"" ""TPC"" ""LM"" ""na"" ""east"" ""west"" ""na"" ""east-west"" 386 343 NA 729 ""resistance"" ""fishFarm"" 650911 588619 582646 544220 498087 0.765215213754261"
"58 ""2020-06-02"" ""2021-06-23"" ""2022-06-16"" ""2023-01-09"" ""TPC"" ""LM"" ""TPC"" ""east"" ""west"" ""east"" ""east-west-east"" 386 358 207 951 ""resilience"" ""fishFarm"" 537175 487213 478350 466604 447989 0.833972169218597"
"61 ""2020-06-02"" ""2021-06-23"" """" ""2022-06-16"" ""TPC"" ""PC"" ""na"" ""east"" ""west"" ""na"" ""east-west"" 386 358 NA 744 ""resistance"" ""eutrophication"" 626219 575075 569844 550387 507979 0.81118426620719"
"62 ""2020-06-02"" ""2021-06-23"" ""2022-06-16"" ""2023-01-10"" ""TPC"" ""PC"" ""TPC"" ""east"" ""west"" ""east"" ""east-west-east"" 386 358 208 952 ""resilience"" ""eutrophication"" 480049 432121 422348 407869 375947 0.783142970821729"
"65 ""2020-06-02"" ""2021-06-28"" """" ""2022-06-06"" ""TPC"" ""SK"" ""na"" ""east"" ""east"" ""na"" ""east-east"" 391 343 NA 734 ""resistance"" ""fishFarm"" 569704 501440 495632 472596 436814 0.766738516843835"
"66 ""2020-06-02"" ""2021-06-28"" ""2022-06-16"" ""2023-01-12"" ""TPC"" ""SK"" ""TPC"" ""east"" ""east"" ""east"" ""east-east-east"" 391 353 210 954 ""resilience"" ""fishFarm"" 414418 370293 361453 348775 337240 0.813767741748669"
"67 ""2020-06-02"" ""2021-06-29"" """" ""2022-06-07"" ""TPC"" ""CI"" ""na"" ""east"" ""east"" ""na"" ""east-east"" 392 343 NA 735 ""resistance"" ""eutrophication"" 626792 558673 551293 527975 486433 0.776067658808664"
"68 ""2020-06-02"" ""2021-06-29"" ""2022-06-16"" ""2023-01-10"" ""TPC"" ""CI"" ""TPC"" ""east"" ""east"" ""east"" ""east-east-east"" 392 352 208 952 ""resilience"" ""eutrophication"" 498496 434531 426524 410776 390572 0.783500770317114"
