id,identity,alignmentLength,maxAlignment,phylum,class,order,family,genus,species,db
ebcc40d5e025bdcb66fe5bfbc180536a,99.681,313,31200.153,Arthropoda,Malacostraca,Decapoda,Alpheidae,Athanas,Athanas_parvus,SHELBY
23d60f46b053f35fbb27de9f6fc72c25,94.569,313,29600.097,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
a7f2f6611347fc0ff9138181ec3156f0,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK01,SHELBY
ade3cc653418bb6fa1a4474e6b3c2b3b,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella_pungens,SHELBY
f2c892cbc38fbbf5eec8fc4fba3b1276,100,313,31300,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Nereididae_HK01,SHELBY
1efc43e70226f5f46933a5a7a4122d40,100,313,31300,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius,Lepidonotus_HK01,SHELBY
bf0777d0b1a66d15dd48d8aafd744bfa,99.361,313,31099.993,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK02,SHELBY
b04701a6d0805fa074f611a143778a03,100,313,31300,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,Myrianida_pachycera,SHELBY
84abf46dae6d7d827790c33b85966714,100,313,31300,Porifera,Demospongiae,Suberitida,NA,Terpios,Terpios_gelatinosus,SHELBY
d71d0ecf7ca931950800bcfcf284625e,100,313,31300,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus_trigonus,SHELBY
352f762cc14ea89c833f13ebd9ba11af,98.718,312,30800.016,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis,Ophiactis_lymani,SHELBY
c3bf24d80096db52c0c269166e29e164,100,313,31300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Leocrates,Leocrates_chinensis_HK01,SHELBY
9a2e801265201c290234cbb4cd625a05,100,313,31300,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK04,SHELBY
4f53cafe7b4dbd0d3b8d163d86399005,100,313,31300,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,Lysidice_HK01,SHELBY
7d2811f0973c48db718f6549abec953d,91.054,313,28499.902,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
2c0023de506e3f70de4f31f6a86ffa55,82.166,314,25800.124,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste_atoka,SHELBY
de9e223b7ca9e9eaa3c5e06d04e24096,100,313,31300,Sipuncula,Phascolosomatidea,Phascolosomatida,Phascolosomatidae,Phascolosoma,Phascolosoma_HK01,SHELBY
cfb2b8810b71db5680b4f77fcc78ca6d,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK02,SHELBY
34afdc6b6f771c7e533cc772cdd19834,98.083,313,30699.979,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
b8fe6a8b760c2100c18586a1e2dc723b,100,313,31300,Annelida,Polychaeta,Golfingiida,Golfingiidae,Nephasoma,Nephasoma_flagriferum,SHELBY
2b18f715a8a9a1be65b8478c2e61b328,100,313,31300,Annelida,Polychaeta,Terebellida,Terebellidae,NA,Terebellidae_HK05,SHELBY
5e6793f2e45dd56ea765ffd12384307a,99.361,313,31099.993,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,NA,Vermetidae_HK01,SHELBY
da0cf914d7718f71bf9fe13e8afd2ab2,81.579,304,24800.016,Annelida,Polychaeta,Flabelligerida,Flabelligeridae,Diplocirrus,Diplocirrus_toyoshioae,SHELBY
1edf1fe3c062e25e52bd4f2f34cbae91,97.444,313,30499.972,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Striatobalanus,Striatobalanus_amaryllis,SHELBY
74d85736ad8dd79e64cc7b6e55e7c330,100,313,31300,Chordata,Actinopterygii,Perciformes,Gobiidae,Eviota,Eviota_HK01,SHELBY
28866bb664b7810571f29c59bf308b28,93.61,313,29299.93,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,Podocerus_brasiliensis,SHELBY
c13c728e13bb95925e28c076a363a93e,100,313,31300,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ergalatax,Ergalatax_contracta,SHELBY
b0f79e8cb1264fb4c205f84a2c66df8a,83.861,316,26500.076,Arthropoda,Insecta,Lepidoptera,Notodontidae,Hapigia,Hapigia_sp._BOLD:AAD5626,SHELBY
22c0abec8c082d4f9ea6351ac3f5969e,96.486,313,30200.118,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,Amphipholis_squamata,SHELBY
3a6f05ca769d8ebb1acbb1307eb6ed57,98.722,313,30899.986,Annelida,Polychaeta,Eunicida,Amphinomidae,Eurythoe,Eurythoe_cf._complanata_MW-2015,SHELBY
d1abcf42f7b76530b2fe629619e6f0f6,100,313,31300,Arthropoda,Malacostraca,Decapoda,Galatheidae,Galathea,Galathea_senta,SHELBY
fd393c2d87fd884f4dc48d2f9e89c3a3,100,313,31300,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis,Ophiactis_sp._C_1298,SHELBY
37cb11f50892dbc34fee8b5ce62d6fb0,100,313,31300,Arthropoda,Hexanauplia,Sessilia,Tetraclitidae,Tetraclitella,Tetraclitella_pilsbryi,SHELBY
3ff79b1b9317ee70f11a27c19065086e,83.387,313,26100.131,Annelida,Clitellata,Haplotaxida,Lumbricidae,Aporrectodea,Aporrectodea_rosea,SHELBY
4b51ef4f7adb4d6330fd4c7c7d4e4a3a,99.682,314,31300.148,Cnidaria,Anthozoa,Actiniaria,Aiptasiidae,Aiptasia,Aiptasia_pulchella,SHELBY
3c44f1f28b2dbe4afb8b954cb634ea6a,100,313,31300,Mollusca,Gastropoda,Littorinimorpha,Zebinidae,Stosicia,Stosicia_annulata,SHELBY
a1c69227ce86bdc241f186fa61a9945a,85.809,303,26000.127,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Herdmania_pallida,SHELBY
a35ed8e71793371113f562fa0d649168,97.444,313,30499.972,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites_denhartogi,SHELBY
9a86ea206c870563347d6dbb795ddfe4,81.23,309,25100.07,Entoprocta,NA,NA,Loxosomatidae,Loxosoma,Loxosoma_axisadversum,SHELBY
01dd75d88324f100a012851419735900,100,313,31300,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,Dorvilleidae_HK01,SHELBY
1e133239c7a66f4d073b088cf9df6c3a,81.311,305,24799.855,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia_geniculata,SHELBY
7a8d3fc0fab2cd1fe14f4867ba0b5d79,99.042,313,31000.146,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK01,SHELBY
4bacb15d98b982b563bd0153bb16a1fb,100,313,31300,Annelida,Polychaeta,Spionida,Spionidae,NA,Spionidae_HK01,SHELBY
d9e3d91d8fd1aada73acbe93e0cd7984,89.389,311,27799.979,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK02,SHELBY
550c1f697fecfd6f45e4bea906a6bd10,89.137,313,27899.881,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Polycirrus_sp._11BIOAK-1122,SHELBY
2b2e057d4cb060038091285099108b2e,84.345,313,26399.985,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Sige,Sige_fusigera,SHELBY
a69fa1f767575757235687814fd52b8f,100,313,31300,Annelida,Polychaeta,Terebellida,Terebellidae,NA,Terebellidae_HK06,SHELBY
0db67538d80eaecc36c1182b06813b33,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Lepraliellidae,Celleporaria,Celleporaria_inaudita,SHELBY
