id,identity,alignmentLength,maxAlignment,phylum,class,order,family,genus,species,db,phylumID,classID,speciesID
ebcc40d5e025bdcb66fe5bfbc180536a,99.681,313,31200.153,Arthropoda,Malacostraca,Decapoda,Alpheidae,Athanas,Athanas_parvus,SHELBY,NA,NA,NA
23d60f46b053f35fbb27de9f6fc72c25,94.569,313,29600.097,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY,NA,NA,NA
a7f2f6611347fc0ff9138181ec3156f0,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK01,SHELBY,NA,NA,NA
ade3cc653418bb6fa1a4474e6b3c2b3b,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella_pungens,SHELBY,NA,NA,NA
f2c892cbc38fbbf5eec8fc4fba3b1276,100,313,31300,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Nereididae_HK01,SHELBY,NA,NA,NA
1efc43e70226f5f46933a5a7a4122d40,100,313,31300,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius,Lepidonotus_HK01,SHELBY,NA,NA,NA
bf0777d0b1a66d15dd48d8aafd744bfa,99.361,313,31099.993,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK02,SHELBY,NA,NA,NA
b04701a6d0805fa074f611a143778a03,100,313,31300,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,Myrianida_pachycera,SHELBY,NA,NA,NA
84abf46dae6d7d827790c33b85966714,100,313,31300,Porifera,Demospongiae,Suberitida,NA,Terpios,Terpios_gelatinosus,SHELBY,NA,NA,NA
133e0e6d4ad9b8f1c4d6993d30141439,82.026,306,25099.956,Annelida,Polychaeta,Phyllodocida,Nereididae,Cheilonereis,Cheilonereis_cyclurus,SHELBY,NA,NA,NA
bac1cc1d444b534b7b04d156b1b30503,97.125,313,30400.125,Porifera,Demospongiae,Suberitida,Suberitidae,NA,Suberitidae_HK02,SHELBY,NA,NA,NA
